Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1004.473	-1213.782	209.3089	2.192586	1.579129	1.242232	0.355082	0.644918	0.8470721
6	-1009.038	-1219.508	210.4702	2.258905	0.8427794	0.6480191	0.512958	0.487042	0.9118512
12	-1006.779	-1217.274	210.4957	2.263343	0.8167427	0.6480191	0.548935	0.451065	0.9118512
18	-1004.593	-1214.716	210.1225	2.175057	0.8696643	0.9024878	0.491546	0.508454	1.008269
24	-1016.926	-1226.315	209.3891	2.217703	1.359889	1.071517	0.447496	0.552504	1.069414
30	-1008.061	-1218.226	210.1656	2.018917	1.381757	0.5140529	0.575728	0.424272	1.146675
36	-1017.195	-1227.466	210.2712	2.040555	1.209701	0.3257595	0.481899	0.518101	1.447397
42	-1018.861	-1229.225	210.3635	2.375138	1.464273	0.3871185	0.498188	0.501812	0.7152304
48	-1003.508	-1213.522	210.0137	2.350976	2.028814	0.3550226	0.606086	0.393914	0.8144556
54	-1003.946	-1214.01	210.0638	2.191288	2.028814	0.3550226	0.397739	0.602261	0.9420694
60	-1003.424	-1213.938	210.5133	2.16988	1.055385	0.5344064	0.438459	0.561541	0.9023637
66	-1006.107	-1215.912	209.805	2.298364	1.467798	0.7488576	0.475047	0.524953	0.8227391
72	-1005.128	-1215.307	210.1798	2.283804	1.10679	0.6850821	0.368652	0.631348	0.8485481
78	-1019.512	-1229.737	210.226	2.3051	1.10679	0.6850821	0.374416	0.625584	0.7591563
84	-1020.083	-1229.843	209.7601	2.269066	1.352174	0.9368425	0.553885	0.446115	0.7531623
90	-1022.288	-1232.044	209.7557	2.145211	1.513355	0.7900907	0.484326	0.515674	0.9584613
96	-1028.211	-1237.95	209.7391	2.252494	1.513355	0.8039057	0.573497	0.426503	0.8374952
102	-1037.932	-1247.091	209.1585	2.256763	2.026379	1.097099	0.564716	0.435284	0.7530417
108	-1010.279	-1220.078	209.7986	2.060041	2.026379	0.6932044	0.576976	0.423024	0.7530417
114	-1013.484	-1222.691	209.2069	1.711462	2.49134	0.7301484	0.585195	0.414805	1.377094
120	-1007.967	-1217.726	209.759	1.802062	1.568545	0.7301484	0.66036	0.33964	1.296225
